issue_date,target_ts,y_true,y_tso,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90
2025-12-24,2025-12-24 06:00:00+00:00,11968.46,12795.12,11442.874272460938,12205.967534179688,12908.651394958497,11877.992863769532,12145.53571044922,13178.121708984376
2025-12-24,2025-12-24 06:15:00+00:00,12186.94,13005.95,11649.656176757813,12437.484240722657,13119.821955871583,12073.05369873047,12312.15184326172,13337.08168334961
2025-12-24,2025-12-24 06:30:00+00:00,12456.64,13196.2,11841.066577148438,12645.387377929688,13312.264964294434,12293.008227539063,12508.066333007813,13569.453479003907
2025-12-24,2025-12-24 06:45:00+00:00,12649.69,13419.37,12068.854619140626,12884.789555664063,13538.828549499513,12517.820622558595,12716.361577148438,13765.104954833985
2025-12-24,2025-12-24 07:00:00+00:00,12849.55,13652.39,12302.806137695312,13143.428787841796,13784.03678955078,12762.731735839843,12872.684067382812,14083.35661376953
2025-12-24,2025-12-24 07:15:00+00:00,13078.97,13862.32,12519.253959960937,13378.055626220703,14002.246635742187,12974.4576953125,13089.72576171875,14273.657982177734
2025-12-24,2025-12-24 07:30:00+00:00,13287.82,14072.43,12740.833076171875,13610.6848828125,14221.799201660157,13180.182380371094,13338.575690917969,14483.767982177735
2025-12-24,2025-12-24 07:45:00+00:00,13534.14,14218.29,12901.986044921876,13777.661643066407,14377.176871337891,13326.042380371095,13478.067893066407,14619.321005859376
2025-12-24,2025-12-24 08:00:00+00:00,13848.38,14327.83,13025.860151367187,13916.117841796875,14506.837781982422,13425.912336425781,13586.731550292969,14660.169233398437
2025-12-24,2025-12-24 08:15:00+00:00,14028.5,14459.21,13174.9883203125,14076.616188964843,14654.644661865234,13557.29233642578,13691.863991699218,14800.998665771484
2025-12-24,2025-12-24 08:30:00+00:00,14147.8,14559.47,13296.702543945312,14203.00009033203,14771.893950195312,13677.505095214843,13798.258452148437,14922.268767089843
2025-12-24,2025-12-24 08:45:00+00:00,14144.08,14672.91,13433.59408203125,14340.361049804687,14902.591274414062,13790.945095214844,13864.917690429687,15028.194393310547
2025-12-24,2025-12-24 09:00:00+00:00,14228.37,14723.74,13510.857431640625,14418.52579711914,14979.600473632812,13821.656076660156,13962.24390625,15131.36661743164
2025-12-24,2025-12-24 09:15:00+00:00,14274.52,14771.12,13584.48962890625,14493.232121582032,15051.221593017579,13855.848759765626,14009.158452148438,14926.791524047852
2025-12-24,2025-12-24 09:30:00+00:00,14316.88,14824.75,13665.597412109375,14571.331848144531,15130.076873779297,13847.466979980469,14065.748962402344,14954.999282836914
2025-12-24,2025-12-24 09:45:00+00:00,14341.79,14940.29,13808.64009765625,14709.312979736329,15272.183371582032,13963.00697998047,14164.295432128907,15068.469672241212
2025-12-24,2025-12-24 10:00:00+00:00,14402.6,14950.97,13873.478422851562,14744.004088134765,15346.426939697265,13946.9299609375,14215.13583251953,15010.220942230224
2025-12-24,2025-12-24 10:15:00+00:00,14414.54,14966.68,13937.72638671875,14788.525916748047,15415.628364257813,13983.083015136719,14247.094367675782,15070.763274841309
2025-12-24,2025-12-24 10:30:00+00:00,14469.92,15034.71,14048.31107421875,14884.932198486327,15534.454415283202,14031.183876953124,14271.601540527343,15062.994336090087
2025-12-24,2025-12-24 10:45:00+00:00,14420.21,15007.22,14059.977995605468,14885.737417907714,15554.051604003906,13954.07888671875,14184.18319580078,14983.831820220947
2025-12-24,2025-12-24 11:00:00+00:00,14409.06,14982.44,14040.94537109375,14894.784879150391,15538.23901123047,13954.346860351563,14257.285092773438,15027.25499862671
2025-12-24,2025-12-24 11:15:00+00:00,14373.12,14954.33,14022.732893066406,14894.160318450928,15541.505170898437,13897.661176757812,14082.874982910156,14757.310239868164
2025-12-24,2025-12-24 11:30:00+00:00,14340.49,14896.08,13982.182661132812,14862.003389434814,15517.488020019531,13833.728193359375,14112.0575390625,14901.876030521393
2025-12-24,2025-12-24 11:45:00+00:00,14238.99,14803.05,13912.858471679687,14795.730938720702,15461.629345703124,13756.423657226562,13892.667431640624,14661.4025390625
2025-12-24,2025-12-24 12:00:00+00:00,14243.91,14732.25,13874.890380859375,14769.190742492676,15422.574096679688,13672.422973632812,13868.098327636719,14713.928504943848
2025-12-24,2025-12-24 12:15:00+00:00,14124.82,14674.13,13850.303034667968,14748.394900207519,15411.683466796874,13614.302973632812,13842.801569824218,14680.532945041656
2025-12-24,2025-12-24 12:30:00+00:00,14048.74,14501.23,13715.986896972656,14614.119457702636,15288.677448730468,13403.114033203125,13694.597248535156,14512.943487625122
2025-12-24,2025-12-24 12:45:00+00:00,13923.76,14408.0,13662.8798828125,14561.504943847656,15248.435791015625,13328.220092773438,13606.527160644531,14418.837949752808
2025-12-24,2025-12-24 13:00:00+00:00,13903.63,14351.2,13651.457934570313,14558.64613647461,15248.041430664063,13308.014331054688,13683.620532226563,14421.91844482422
2025-12-24,2025-12-24 13:15:00+00:00,13819.86,14288.8,13632.528149414062,14545.27003173828,15246.954479980468,13299.29072265625,13589.831494140624,14458.176190185546
2025-12-24,2025-12-24 13:30:00+00:00,13784.89,14150.1,13538.183129882813,14453.909600830078,15165.5716796875,13175.882653808594,13451.40291748047,14363.95841369629
2025-12-24,2025-12-24 13:45:00+00:00,13732.88,14131.66,13561.349453125,14480.624904785156,15200.456264648437,13157.442653808594,13424.376430664062,14338.559551391601
