issue_date,target_ts,is_holiday_or_weekend,y_true,naive,lstm_clip_p50,xgb50_p50,xgb47_p50
2026-03-19,2026-03-18 23:15:00+00:00,False,108.77,88.9,86.65141296386719,115.49366760253906,113.668701171875
2026-03-19,2026-03-18 23:30:00+00:00,False,108.2,87.39,91.75187683105469,112.60491943359375,111.33085632324219
2026-03-19,2026-03-18 23:45:00+00:00,False,106.99,87.21,93.71371459960938,107.99655151367188,105.72264099121094
2026-03-19,2026-03-19 00:00:00+00:00,False,112.76,89.64,93.82801818847656,113.33829498291016,112.5860824584961
2026-03-19,2026-03-19 00:15:00+00:00,False,111.73,86.64,93.01801300048828,114.24422454833984,110.96598052978516
2026-03-19,2026-03-19 00:30:00+00:00,False,112.85,85.83,92.12139892578125,115.60433197021484,112.4996109008789
2026-03-19,2026-03-19 00:45:00+00:00,False,113.22,84.8,91.26656341552734,108.29244232177734,105.5009765625
2026-03-19,2026-03-19 01:00:00+00:00,False,113.66,86.58,90.75763702392578,116.72612762451172,113.15966033935547
2026-03-19,2026-03-19 01:15:00+00:00,False,112.79,85.39,90.8481674194336,117.00696563720703,114.84161376953125
2026-03-19,2026-03-19 01:30:00+00:00,False,113.93,85.27,90.97540283203125,116.97936248779297,114.74146270751953
2026-03-19,2026-03-19 01:45:00+00:00,False,115.59,85.5,91.24136352539062,110.14325714111328,108.77680969238281
2026-03-19,2026-03-19 02:00:00+00:00,False,110.05,86.15,92.43699645996094,115.58531188964844,112.54548645019531
2026-03-19,2026-03-19 02:15:00+00:00,False,112.73,86.5,93.60584259033203,110.11290740966797,108.431640625
2026-03-19,2026-03-19 02:30:00+00:00,False,117.97,87.09,94.63982391357422,114.74353790283203,112.0082778930664
2026-03-19,2026-03-19 02:45:00+00:00,False,121.35,87.73,95.83291625976562,115.31391143798828,111.67912292480469
2026-03-19,2026-03-19 03:00:00+00:00,False,120.2,87.93,98.18936157226562,119.4751968383789,115.85198974609375
2026-03-19,2026-03-19 03:15:00+00:00,False,121.82,88.88,99.8348159790039,117.92921447753906,113.20903015136719
2026-03-19,2026-03-19 03:30:00+00:00,False,123.98,89.06,101.59056854248047,119.08888244628906,114.90904998779297
2026-03-19,2026-03-19 03:45:00+00:00,False,127.1,89.47,103.46548461914062,122.1454849243164,119.89433288574219
2026-03-19,2026-03-19 04:00:00+00:00,False,122.34,89.0,106.0363998413086,122.59999084472656,120.87454223632812
2026-03-19,2026-03-19 04:15:00+00:00,False,128.14,91.52,108.83576965332031,122.81130981445312,120.24072265625
2026-03-19,2026-03-19 04:30:00+00:00,False,132.29,102.84,111.79150390625,129.56195068359375,127.82112121582031
2026-03-19,2026-03-19 04:45:00+00:00,False,148.35,116.86,115.36600494384766,142.23121643066406,143.5353240966797
2026-03-19,2026-03-19 05:00:00+00:00,False,134.52,112.58,122.207275390625,140.4510955810547,140.96910095214844
2026-03-19,2026-03-19 05:15:00+00:00,False,157.9,130.68,127.70598602294922,147.65504455566406,146.57781982421875
2026-03-19,2026-03-19 05:30:00+00:00,False,170.86,137.42,132.61660766601562,152.6682891845703,154.17015075683594
2026-03-19,2026-03-19 05:45:00+00:00,False,177.23,142.28,136.94322204589844,161.9641876220703,158.73724365234375
2026-03-19,2026-03-19 06:00:00+00:00,False,191.6,150.2,141.81028747558594,165.10231018066406,160.05523681640625
2026-03-19,2026-03-19 06:15:00+00:00,False,175.51,148.81,144.55259704589844,158.02908325195312,152.34283447265625
2026-03-19,2026-03-19 06:30:00+00:00,False,150.21,132.01,145.9269256591797,155.3594512939453,151.57192993164062
2026-03-19,2026-03-19 06:45:00+00:00,False,115.65,103.35,146.21975708007812,144.64376831054688,142.9595489501953
2026-03-19,2026-03-19 07:00:00+00:00,False,179.47,131.43,142.4810791015625,152.56617736816406,158.24180603027344
2026-03-19,2026-03-19 07:15:00+00:00,False,151.35,106.9,137.34805297851562,141.7246551513672,137.86721801757812
2026-03-19,2026-03-19 07:30:00+00:00,False,120.19,87.69,131.25621032714844,124.69332885742188,126.14080810546875
2026-03-19,2026-03-19 07:45:00+00:00,False,103.4,73.73,124.2580337524414,107.48177337646484,109.5003433227539
2026-03-19,2026-03-19 08:00:00+00:00,False,121.98,99.91,113.35503387451172,123.1469497680664,123.77977752685547
2026-03-19,2026-03-19 08:15:00+00:00,False,100.87,81.06,104.12071228027344,102.80928802490234,100.61785125732422
